t iter dt dta diff m1 m2 ekin c1x c1y c1z c2x c2y c2z vc1x vc1y vc1z vc2x vc2y vc2z v1x v1y v1z v2x v2y v2z meshposx meshvelx 
8.179999999999914 996 0.02 0.02 0.0002829954892969401 0.02713673645621676 0.004113263543783239 8.943495613195431e-06 0.4976833332709629 0.4994272944148871 0.015625 0.5152839159984733 0.5037783527276536 0.015625 -0.002920965203218051 -0.002262413472953195 8.673617379884035e-17 0.01927069862874831 0.01492598695262415 0 0.01984322695432612 0.0123439742156289 0 0.01925912908403007 0.01466361758222899 0 0 0 
8.199999999999914 998 0.02 0.02 0.000293048357448801 0.02713673645471203 0.00411326354528798 8.953929267870112e-06 0.4976248983952451 0.4993823438955317 0.015625 0.5156694327002781 0.5040749080971961 0.015625 -0.002921743785891384 -0.00224752596777178 0 0.01927583509023778 0.01482776847712697 0 0.01983734598756905 0.01234092386180354 0 0.01925148814609449 0.01458140222927484 0 0 0 
8.219999999999914 1000 0.02 0.02 0.0003133705265557261 0.02713673645330007 0.004113263546699923 8.966748357657688e-06 0.4975662955035575 0.4993376352482801 0.015625 0.5160560578663055 0.504369867745966 0.015625 -0.002930144584381567 -0.002235432362579504 0 0.01933125830136939 0.01474798243849551 0 0.01983149627860295 0.0123371662993792 0 0.0192447852092852 0.01449736211133267 0 0 0 
8.239999999999913 1002 0.02 0.02 0.000328159427675248 0.02713673645139267 0.004113263548607329 8.982127860567418e-06 0.4975075916650714 0.499293226345766 0.015625 0.5164433490134899 0.504662849865828 0.015625 -0.002935191924305358 -0.002220445125708514 0 0.01936455735921938 0.01464910599309754 0 0.01982633488265807 0.01233202249689517 0 0.01924132445248408 0.01440912596899879 0 0 0 
8.259999999999913 1004 0.02 0.02 0.0003403459642094303 0.02713673645056439 0.004113263549435614 8.999841851176794e-06 0.4974487212640325 0.4992490783225105 0.015625 0.5168317390407361 0.5049541108689342 0.015625 -0.002943520051942872 -0.002207401162773737 0 0.01941950136231108 0.01456305015530845 0 0.01982124635693365 0.01232569418257479 0 0.01923786080844862 0.01432135451566095 0 0 0 
8.279999999999912 1006 0.02 0.02 0.0003419234629143705 0.02713673644966661 0.004113263550333385 9.017882718437436e-06 0.4973897651072399 0.4992052560645136 0.015625 0.5172206948302186 0.505243222676679 0.015625 -0.002947807839631666 -0.002191112899843639 -8.673617379884035e-17 0.01944778947412518 0.0144555903872412 0 0.01981647583798176 0.01231482726270055 0 0.01923410969497024 0.01422693009807019 0 0 0 
8.299999999999912 1008 0.02 0.02 0.0003343089286220768 0.02713673644843905 0.004113263551560953 9.038504323388005e-06 0.4973306780991185 0.4991617188385278 0.015625 0.5176105138929838 0.5055304540210965 0.015625 -0.002954350406067507 -0.002176861299291177 8.673617379884035e-17 0.01949095313826255 0.01436156722087745 0 0.01981208391894418 0.01230256157764304 0 0.01923377881574131 0.0141321596151646 0 0 0 
8.319999999999911 1010 0.02 0.02 0.0003370731821158574 0.02713673645105009 0.004113263548949889 9.062403634286985e-06 0.4972715553015941 0.4991185007510577 0.015625 0.5180005690908915 0.5058155798955456 0.015625 -0.002956139876222896 -0.002160904373502137 -8.673617379884035e-17 0.01950275989538452 0.01425629372245329 0 0.01980779319965526 0.01229071924537349 0 0.01924034589476623 0.01404433883128915 0 0 0 
8.339999999999911 1012 0.02 0.02 0.000320813389475175 0.02713673645027077 0.004113263549729229 9.087756800091915e-06 0.4972123341989358 0.4990755346955226 0.015625 0.5183912728276063 0.5060990430157771 0.015625 -0.002961055132913448 -0.00214830277675826 8.673617379884035e-17 0.01953518683573963 0.01417315601157654 0 0.01980249837911796 0.01227824371484366 0 0.01924791814556732 0.01396273835342215 0 0 0 
8.359999999999911 1014 0.02 0.02 0.0004615313860563567 0.02713673645022358 0.004113263549776417 9.115000363272775e-06 0.4971530450657735 0.4990328445288056 0.015625 0.5187824253906524 0.5063806859955812 0.015625 -0.002964456658113845 -0.002134508335846497 0 0.01955762815230577 0.0140821489902021 0 0.01979759465800338 0.01226489230797076 0 0.01926277410091884 0.01388278709354321 0 0 0 
