cl,vf,r,x,y,z,vx,vy,vz,p,xx,xy,xz,yy,yz,zz
129,3.7624397921213155525e-06,0.0096485114494671564422,1.5538799988724876222,0.38384472577932643444,0.70732012006448996555,0.30260244350992504536,0.23345997001280288652,0.23875009739802949271,0.019049702197200125975,2.4145627167107819311,0.59645043145856302402,1.0990923017176577048,0.14736062789954385011,0.27149641194247575715,0.50032301206561613505
130,6.1905151186075710752e-06,0.011390585800510449541,1.4372799916598946179,0.42230762525327658619,0.92329493003901752513,0.12236499976446865712,-0.072855127170926778368,-0.095544492700787506112,-0.008734703184505976381,2.0657962439856136783,0.60697459314281354548,1.3270344545013355031,0.1783751541049670708,0.38991641513347063963,0.8525056389617535757
131,1.3440412693862485667e-06,0.0068460699399491902958,1.5328734963042760509,0.17658822136005619674,1.054475764615234068,0.15706429396459403725,-0.41207826281719950323,-0.12480554787475203748,-0.063707776917850386655,2.3497130691925498525,0.27068724018164924683,1.6163778407229396628,0.031194212285919942912,0.18620972478437794462,1.1119320986016660857
132,4.5161350251140024907e-05,0.022091545665541025695,1.6045002553276164203,0.60325906232298975862,0.59587338755577734517,0.32327676734514920742,0.092602100386335262083,0.038308771140329309079,-0.025197470557553391934,2.5745312448715398368,0.96794127250677719498,0.95610076486928374795,0.36405424237641970109,0.35945577573762166335,0.35514055837977426267
133,4.1715772935805899558e-06,0.0099862835951086657837,1.5941477073489001004,0.45593622874206302109,1.6260619308180466192,0.22032912178856342567,0.099066322629456013416,-0.017078207636385428492,0.015099627185300159779,2.5413264782587816626,0.72682989557141441939,2.5921801943037903193,0.20789873673587710989,0.7413808950975647738,2.6441053108916090508
134,9.5236938762279844175e-07,0.0061034061737693708766,1.9051528773033303832,0.48149684240933188217,1.1453975608555266863,0.20628911655325155028,0.20475545149974527792,-0.15528777342152527696,0.0093132235873834377099,3.6296176743248653729,0.91732590590981755163,2.1821572996604170491,0.23185008670694565169,0.55150506950133082462,1.3119439779956179049
135,8.5887210647332219978e-07,0.0058967578840108314173,1.4013854472812679042,0.24302342965700404753,1.1348808294894012771,0.93589603745344829289,-0.8175729189841526301,-0.0022442842563952661653,0.0043128170060647468345,1.9638897842496203516,0.34056946078830530045,1.5904057418856398787,0.059070245145989949687,0.27580261907003500443,1.2879632515953904903
136,5.14528771216752702e-06,0.010709610719126487141,1.3378015157383340572,0.23248996932097698576,0.55213386923356644331,0.74923739155281565694,-0.68006614729752201676,-0.074803166084477637487,-0.029450116232918464171,1.7897357545561851655,0.31102196402856768787,0.73864760320050570908,0.054082623846313758464,0.12836365350939085705,0.30487509729443268425
137,3.804718853008862784e-06,0.0096845174725842669838,1.5453649367146296001,0.35609850566283529627,1.6612514318507467515,0.18094579496979648625,0.19980989086982353653,0.0042860494748466794468,0.013891869897100896439,2.3881752892237999575,0.55030467451964160119,2.5672352925113930411,0.12682840337800357911,0.5915690540463595104,2.7597768620210203494
138,3.1983306957917483835e-06,0.0091399731296969728006,1.5089751957735038079,0.38891413545501818394,1.6735320056030211777,0.19028166016973244168,0.057542689176267813878,0.29234167656943726987,-0.0061044396793094573422,2.2770284517819994186,0.58685386427082331107,2.5253183765591522558,0.15127347300894719573,0.65086046331777003271,2.80072871480025265
